"ID","City","State",,,,,"States - Other"
"[1255] =","Beawar","Rajasthan - Other",,,,,
"[1256] =","Bechraji","Gujarat - Other",,,,,
"[1257] =","Beed","Maharashtra - Other",,,,,
"[1258] =","Beenaganj","Madhya Pradesh - Other",,,,,
"[1259] =","Begusarai","Bihar - Other",,,,,
"[1260] =","Behror","Rajasthan - Other",,,,,
"[1261] =","Bellampalli","Andhra Pradesh - Other",,,,,
"[50] =","Bellary","Karnataka - Other",,,,,
"[1262] =","Belonia","Tripura - Other",,,,,
"[1263] =","Belthangady","Karnataka - Other",,,,,
"[816] =","Belur","Karnataka - Other",,,,,
"[1264] =","Bemetara","Chhattisgarh - Other",,,,,
"[909] =","Bengai","West Bengal - Other",,,,,
"[51] =","Bengaluru/bangalore","Karnataka - Other",,,,,
"[1265] =","Benipatti","Bihar - Other",,,,,
"[1077] =","Berhampur","Orissa - Other",,,,,
"[1266] =","Besagarahalli","Karnataka - Other",,,,,
"[1267] =","Betah","All over India",,,,,
"[1268] =","Betampady","Karnataka - Other",,,,,
"[1269] =","Betiah","Bihar - Other",,,,,
"[1270] =","Betul","Madhya Pradesh - Other",,,,,
"[1271] =","Bewoor","All over India",,,,,
"[1272] =","Bhabua","Bihar - Other",,,,,
"[1273] =","Bhaderwah","Jammu & Kashmir - Other",,,,,
"[1274] =","Bhadgaon","Maharashtra - Other",,,,,
"[715] =","Bhadrachalam","Andhra Pradesh - Other",,,,,
"[1275] =","Bhadrak","Orissa - Other",,,,,
"[810] =","Bhadravathi","Karnataka - Other",,,,,
"[1276] =","Bhadrawati","Maharashtra - Other",,,,,
"[745] =","Bhagwanpur","Uttarakhand - Other",,,,,
"[1277] =","Bhaisma","All over India",,,,,
"[793] =","Bhalki","Karnataka - Other",,,,,
"[1278] =","Bhamkheda","Maharashtra - Other",,,,,
"[1279] =","Bhanahalli","Karnataka - Other",,,,,
"[1280] =","Bhandara","Maharashtra - Other",,,,,
"[1281] =","Bhangar","Rajasthan - Other",,,,,
"[1282] =","Bhanswada","Uttarakhand - Other",,,,,
"[1283] =","Bharathi Nagar","Andhra Pradesh - Other",,,,,
"[1284] =","Bharatpur","Rajasthan - Other",,,,,
"[1285] =","Bharsinghi","Maharashtra - Other",,,,,
"[52] =","Bharuch","Gujarat - Other",,,,,
"[1286] =","Bhatgaon","Chhattisgarh - Other",,,,,
"[797] =","Bhatkal","Karnataka - Other",,,,,
"[974] =","Bhatoli","Himachal Pradesh - Other",,,,,
"[53] =","Bhavnagar","Gujarat - Other",,,,,
"[1287] =","Bheemunipatnam","Andhra Pradesh - Other",,,,,
"[1288] =","Bhekiajuli","Assam - Other",,,,,
"[1290] =","Bhilai Nagar","Chhattisgarh - Other",,,,,
"[1289] =","Bhilainagar","Chhattisgarh - Other",,,,,
"[1291] =","Bhilawadi","Maharashtra - Other",,,,,
"[54] =","Bhillai","Chhattisgarh - Other",,,,,
"[1292] =","Bhilloda","Gujarat - Other",,,,,
"[706] =","Bhimavaram","Andhra Pradesh - Other",,,,,
"[1294] =","Bhimtal","Uttarakhand - Other",,,,,
"[1295] =","Bhimunipatnam Mandal","Andhra Pradesh - Other",,,,,
"[1296] =","Bhind","Madhya Pradesh - Other",,,,,
"[827] =","Bhir","Maharashtra - Other",,,,,
"[1297] =","Bhisi","Maharashtra - Other",,,,,
"[767] =","Bhiwani","Haryana - Other",,,,,
"[1298] =","Bhiwapur","Maharashtra - Other",,,,,
"[1299] =","Bhojpur","Bihar - Other",,,,,
"[1300] =","Bhongir","Andhra Pradesh - Other",,,,,
"[1301] =","Bhopalpatnam","Chhattisgarh - Other",,,,,
"[1302] =","Bhor","Maharashtra - Other",,,,,
"[1303] =","Bhorey","Bihar - Other",,,,,
"[1304] =","Bhramarpur","Bihar - Other",,,,,
"[57] =","Bhuj","Gujarat - Other",,,,,
"[1305] =","Bhujni","Andhra Pradesh - Other",,,,,
"[1306] =","Bhurkunda","Jharkhand - Other",,,,,
"[975] =","Bhusawal","Maharashtra - Other",,,,,
"[1307] =","Bhusiya Rajaun","Bihar - Other",,,,,
"[1308] =","Bibirani","Rajasthan - Other",,,,,
"[1309] =","Bichukonda","Andhra Pradesh - Other",,,,,
"[1310] =","Biharsharif","Bihar - Other",,,,,
"[1311] =","Bihpuria","Assam - Other",,,,,
"[1312] =","Bijawar","Madhya Pradesh - Other",,,,,
"[976] =","Bijni","Assam - Other",,,,,
"[891] =","Bijnor","Uttar Pradesh - Other",,,,,
"[1078] =","Bikaneer","Rajasthan - Other",,,,,
"[1314] =","Bikram","Bihar - Other",,,,,
"[1315] =","Bikramganj","Bihar - Other",,,,,
"[1316] =","Bilaigarh","Chhattisgarh - Other",,,,,
"[1317] =","Bilasipara","Assam - Other",,,,,
"[60] =","Bilaspur","Chhattisgarh - Other",,,,,
"[10238] =","Bilaspur (C.G.)","Chhattisgarh - Other",,,,,
"[10239] =","Bilaspur (CG)","Chhattisgarh - Other",,,,,
"[1318] =","Bilgi","Karnataka - Other",,,,,
"[1319] =","Bilha","Chhattisgarh - Other",,,,,
"[1320] =","Billimora","Gujarat - Other",,,,,
"[859] =","Birbhum","West Bengal - Other",,,,,
"[1321] =","Biroul","Bihar - Other",,,,,
"[1322] =","Birouli","Uttar Pradesh - Other",,,,,
"[1323] =","Birpur","Bihar - Other",,,,,
"[1324] =","Birsinghpur Pali","Madhya Pradesh - Other",,,,,
"[1325] =","Bishenpur","Manipur - Other",,,,,
"[1326] =","Bishnupur","West Bengal - Other",,,,,
"[1327] =","Bithora","Rajasthan - Other",,,,,
"[1328] =","Bnankur","Karnataka - Other",,,,,
"[1329] =","Bobbili","Andhra Pradesh - Other",,,,,
"[1330] =","Bobili","All over India",,,,,
"[722] =","Bodhan","Andhra Pradesh - Other",,,,,
"[1331] =","Bodinayakanur","Tamil Nadu - Other",,,,,
"[1332] =","Bodwad","Maharashtra - Other",,,,,
"[1333] =","Bokakhat","Assam - Other",,,,,
"[61] =","Bokaro","Jharkhand - Other",,,,,
"[1334] =","Boko","Assam - Other",,,,,
"[1335] =","Bolegaon","Maharashtra - Other",,,,,
"[1336] =","Bollaram","Andhra Pradesh - Other",,,,,
"[1337] =","Bomdila","Arunachal Pradesh - Other",,,,,
"[977] =","Bongaigaon","Assam - Other",,,,,
"[1338] =","Bongalgaon","Assam - Other",,,,,
"[1339] =","Borgaon Manju","Maharashtra - Other",,,,,
"[1340] =","Borhat","Assam - Other",,,,,
"[1341] =","Bori Arab","Maharashtra - Other",,,,,
"[1342] =","Botad","Gujarat - Other",,,,,
"[1343] =","Boudh","Orissa - Other",,,,,
"[10179] =","Boyipalem","Andhra Pradesh - Other",,,,,
"[1344] =","Brahmapuri","Maharashtra - Other",,,,,
"[1345] =","Brahmavar","Karnataka - Other",,,,,
"[1346] =","Broach","All over India",,,,,
"[1347] =","Buchireddypalem","Andhra Pradesh - Other",,,,,
"[1348] =","Budaun","Uttar Pradesh - Other",,,,,
"[885] =","Bulandshahr","Uttar Pradesh - Other",,,,,
"[978] =","Buldana","Maharashtra - Other",,,,,
"[1349] =","Buldhana","Maharashtra - Other",,,,,
"[1350] =","Bulsar","Gujarat - Other",,,,,
"[1352] =","Bungkawn","Mizoram - Other",,,,,
"[1353] =","Burhanpur","Madhya Pradesh - Other",,,,,
"[1354] =","Burhar","Madhya Pradesh - Other",,,,,
"[1355] =","Butibori","Maharashtra - Other",,,,,
"[1356] =","Buxar","Bihar - Other",,,,,
"[1357] =","Byadgi","Karnataka - Other",,,,,
"[1358] =","Byndoor","Karnataka - Other",,,,,
"[731] =","Cachar","Assam - Other",,,,,
"[1360] =","Caranzalem","Goa - Other",,,,,
"[1361] =","Chabua","Assam - Other",,,,,
"[1362] =","Chadachan","Karnataka - Other",,,,,
"[1363] =","Chakan","Maharashtra - Other",,,,,
"[1364] =","Chakghat","Madhya Pradesh - Other",,,,,
"[1365] =","Chakiayaj","All over India",,,,,
"[1366] =","Chakmoh","Himachal Pradesh - Other",,,,,
"[1367] =","Chalisgaon","Maharashtra - Other",,,,,
"[1368] =","Challakere","Karnataka - Other",,,,,
"[817] =","Chamarajanagar","Karnataka - Other",,,,,
"[1369] =","Chamata","Assam - Other",,,,,
"[1370] =","Chamba","Himachal Pradesh - Other",,,,,
"[1371] =","Chamorshi","Maharashtra - Other",,,,,
"[747] =","Champa","Chhattisgarh - Other",,,,,
"[1372] =","Champaran","Bihar - Other",,,,,
"[1373] =","Champawat","Uttarakhand - Other",,,,,
"[1374] =","Champhai","Mizoram - Other",,,,,
"[1375] =","Chanasma","Gujarat - Other",,,,,
"[1376] =","Chanda Nagar","Andhra Pradesh - Other",,,,,
"[1377] =","Chandauli","Uttar Pradesh - Other",,,,,
"[1378] =","Chandel","Manipur - Other",,,,,
"[1379] =","Chandernagore","West Bengal - Other",,,,,
"[1380] =","Chandgad","Maharashtra - Other",,,,,
"[741] =","Chandi","All over India",,,,,
"[843] =","Chandrapur","Maharashtra - Other",,,,,
"[1381] =","Chandur Bazar","Maharashtra - Other",,,,,
"[1382] =","Chandwad","Maharashtra - Other",,,,,
"[1383] =","Changalpattu","Tamil Nadu - Other",,,,,
"[1064] =","Changanassery","Kerala - Other",,,,,
"[1384] =","Changlang","Arunachal Pradesh - Other",,,,,
"[1385] =","Channapatna","Karnataka - Other",,,,,
"[1386] =","Channarayanapatna","Karnataka - Other",,,,,
"[1387] =","Chapar","Assam - Other",,,,,
"[742] =","Chapra","Bihar - Other",,,,,
"[1388] =","Charama","Chhattisgarh - Other",,,,,
"[1389] =","Charing","All over India",,,,,
"[1390] =","Chas","Jharkhand - Other",,,,,
"[1391] =","Chatra","Jharkhand - Other",,,,,
"[1392] =","Chaubatakhal","Uttarakhand - Other",,,,,
"[1393] =","Cheeka","Haryana - Other",,,,,
"[1394] =","Chembarambakkam","Tamil Nadu - Other",,,,,
"[1395] =","Chengalpattu","Tamil Nadu - Other",,,,,
"[1396] =","Chengam","Tamil Nadu - Other",,,,,
"[10170] =","Chengannur","Kerala - Other",,,,,
"[1397] =","Chennoor","Andhra Pradesh - Other",,,,,
"[1398] =","Cherapunjee","Meghalaya - Other",,,,,
